video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
rZAte5S3M7s,2025-12-07T12:00:06Z,Dongker & Jason Ranti - Disarankan Di Bandung (Official Music Video),Dongker,24,Entertainment,"dongker, punk, kinderbloomen, indonesia",226,hd,false,False,28671,2580,313
UXdl-Qt-vpk,2025-12-07T06:25:07Z,"TERBELENGGU RINDU TRAILER: MARCEL SELAMAT GAK YA? APA RENCANA BIRU SIA-SIA? - Glenca Chysara, Lucky",MNC Pictures,1,Film & Animation,,25,hd,false,True,37386,246,96
5FZlBp8ylCo,2025-12-07T15:32:40Z,[ID] 2025 PMGC League | Last Chance | Day 2 | PUBG MOBILE Global Championship,PUBG MOBILE Indonesia,20,Gaming,"MLBB, FF, ROBLOX, PMPL, PMSL, PUBG MOBILE, FFWS, FREE FIRE, MPL, AOV",17766,hd,false,False,711894,6247,64
yAXnEHFKKaY,2025-12-05T15:00:06Z,BABYMONSTER - 'PSYCHO' PERFORMANCE VIDEO,BABYMONSTER,10,Music,"BABYMONSTER, 베이비몬스터, 베몬, BABYMON, BAEMON, 하람, 아현, 루카, 치키타, 파리타, 로라, 아사, HARAM, AHYEON, RUKA, CHIQUITA, PHARITA, RORA, ASA",206,hd,false,True,11649142,253589,9395
aNDfYPnF6A8,2025-12-07T15:00:01Z,EXO 엑소 'REVERXE' Trailer,EXO,10,Music,"EXO, 엑소, we are oneEXO, EXO-K, EXO-M, 엑소케이, 엑소엠, SUHO, LAY, CHANYEOL, D.O., KAI, SEHUN, 수호, 레이, 찬열, 디오, 카이, 세훈, REVERXE, 리버스, 8th album, 8집, comeback, 컴백, trailer, 트레일러",213,hd,true,True,194027,54343,8074
Ntp522Cad-s,2025-12-07T22:10:52Z,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,17,Sports,"RC Celta, Real Madrid, Real Madrid vs. RC Celta, Madrid, Celta, Real Madrid Celta, Real Madrid vs Celta, LaLiga, jornada 15 laliga ea sports, laliga ea sports, highlights Real Madrid Celta, resumen Real Madrid Celta, goles Celta, Williot, Valverde, Mbappé, Santiago Bernabéu, mejores momentos fútbol, partido LaLiga, liga española, highlights fútbol, resumen fútbol, Celta vigo, Celta de Vigo",195,hd,false,True,1042206,25617,2757
DSixyOOnotg,2025-12-05T05:30:11Z,CINTA DARI SEBERANG - Difarina Indra Adella Ft. Fendik Adella - OM ADELLA,Henny Adella,10,Music,"Henny Adella, Adella Terbaru 2022, Satru 2, Tiara, difarina Indra, Joko Tingkir, Dangdut Koplo, Music of Asia, Lagu-lagu duet adella, OM ADELLA, Dangdut, Pop, Tasya Rosmala, Adella, Nurma Paejah, Lusyana Jelita, Cantika Nuswantoro",479,hd,false,True,360635,4475,1369
Fv0leN8TmR8,2025-12-07T00:00:04Z,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,24,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, karen fukuhara, chace crawford",121,hd,true,True,5107672,254052,13797
qrGO737PkLM,2025-12-06T10:01:24Z,100 Hari Kuli di Minecraft,ItsSandwich,20,Gaming,"100 hari di minecraft indonesia, 100 hari di minecraft desert only, 100 day in minecraft, bertahan hidup 100 hari di minecraft, bertahan hidup di minecraft survival 100 hari, 100 days in minecraft, 100 hari, 100 hari di minecraft, minecraft, mojang, minecraft bedrock, 100 hari di minecraft hardcore, minecraft hardcore, minecraft survival, 600 hari di minecraft indonesia, 600 hari di minecraft ice spike only, 600 day in minecraft, 100 hari di minecraft ide spike only",6225,hd,false,True,1016027,52215,7406
_MOYjM8_1B8,2025-12-07T12:12:36Z,DEF LEPPARD - When Love & Hate Collide  ( Cover Dimas Senopati ),Dimas Senopati,10,Music,"dimas senopati, acoustic, acoustic cover, cover, slow rock, rock n roll, rock and roll, classic rock, martin and co, live musik, musik cover, dmssnpt cover, dimas senopati cover, scorpions, the beatles, firehouse, the beatles cover, classic rock cover, bon jovi, europe, skid row, dimas senopati ome tv, dimas senopati ome, dimas senopati prank, ome tv, dmssnpt ome tv, prank ome tv, prank, dimas sing on ome tv, ome tv international, omegle",251,hd,false,False,34514,3339,396
VI6XO8EijT4,2025-12-05T20:00:28Z,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,true,True,6101816,523776,29607
R7vX1nB021Y,2025-12-07T15:26:48Z,PMGC HARI TERAKHIR LAST CHANCE BUAT AE BISAKAH MASUK GRAND FINAL?,CEOKOPAT ALTER EGO,20,Gaming,,15592,hd,false,True,435707,6751,47
QuiGwoEcBqE,2025-12-07T08:00:07Z,SILVY KUMALASARI FT MULYO BASUKI - SIDO RONDO ( Official Live Video Royal Music ),RC Music,10,Music,"RoyalMusic, RcMusic, Music, Dangdut, Koplo, Dangdut Jatim, Music Live, Live Music, official video music, Music of Indonesia, DANGDUT KOPLO, MUSIC INDONESIA, trending, tren saat ini, dangdut koplo, adella terbaru, lagu dangdut, adinda rahma, dangdut, duo ageng",347,hd,false,True,18290,799,123
Cy6AMC8zD5U,2025-12-07T03:30:58Z,TRAILER FULL WANITA ISTIMEWA MINGGU 07 DESEMBER || MIRSA TEGASS PERJUANGKAN CINTA NYA PADA REZA 👍👍,ULASAN SINETRON,22,People & Blogs,,185,hd,false,True,27403,146,66
7T_ini72Q2E,2025-12-07T10:31:45Z,AKU MENCOBA GAME VIRAL TENTANG PENEMPA DI ROBLOX.... The Forge,Windah Basudara,20,Gaming,windah basudara,5135,hd,false,True,330285,11010,714
SiN7B0nopNY,2025-12-05T21:59:54Z,Lagu Malaysia Lama Populer 🎂 Malaysia Full Album 🍦 Temui Lagu Slow Rock Malaysia 90an Menyentuh Hati,Hits Lagu Malaysia,22,People & Blogs,"lagu malaysia, tiara, lagu, lagu malaysia lama populer, malaysia full album, lagu tiara, lagu malaysia terbaru, lagu pengantar tidur, lagu enak didengar, lagu enak saat kerja, lagu indonesia, lagu pop, lagu tidur, pengantar tidur, Slow musik melayu, lagu cover, lagu melayu, slow musik, Gerimis Mengundang, Akustik Malaysia, Full Album, Pengantar Tidur, lagu santai, enak didengar",4074,hd,false,True,50273,110,6
M0TifU7c5Vg,2025-12-07T17:35:18Z,TRAILER FULL WANITA ISTIMEWA SENIN! GOOD! REZA MINTA MIRSA BERTAHAN! YESS RADIT TEMUKAN BUKTI ITU!!,Sinetronku,1,Film & Animation,,219,hd,false,True,4571,66,13
2Bt4d2xrZMs,2025-12-06T23:00:06Z,Yuta Mio Ubah Rumah Jadi Pasar Malam Ada Wahana SANRIO KUROMI MELODY CINNAMONROLL🥳🌈,Dunia Budi,20,Gaming,,1298,hd,false,True,310782,3657,426
4tlUrCMiRiw,2025-12-02T11:15:01Z,utopia - hujan - zonalirik,zona lirik,10,Music,"zona lirik, zona lirik channel, lirik, video lirik, lirik video, lagu nostalgia, nostalgia sepanjang masa, lagu nostalgia terbaik, lagu kenangan, lagu hits, lagu indonesia terpopuler, lirik lagu indonesia, lagu nostalgia paling dicari, musik indonesia, lagu enak didengar, pop Indonesia, lagu pop, lagu teman kerja",239,hd,false,True,40116,82,0
