video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
FeaRXx2VDhI,2025-12-05T11:30:23Z,Top 50 Christmas Songs of All Time 🎄 Best Christmas Music Playlist,Christmas Songs and Carols - Love to Sing,10,Music,"top christmas song, christmas songs, top christmas songs of all time, top 100 christmas songs of all time, best christmas songs of all time, best christmas songs, top christmas songs, top 100 christmas songs, classic christmas songs, christmas songs playlist, best christmas music, christmas songs medley, top 100 christmas songs and carols, top 100 christmas songs and carols playlist",8351,hd,false,True,563186,2185,122
VI6XO8EijT4,2025-12-05T20:00:28Z,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,true,True,4246050,432109,25504
-QWbwlumGAw,2025-11-26T20:45:01Z,SIDEMEN AMONG US BUT HALF THE LOBBY ARE JESTERS,MoreSidemen,22,People & Blogs,"sidemen, moresidemen, miniminter, ksi, zerkaa, behzinga, tbjzl, vikkstar, wroetoshaw",4820,hd,false,True,4460813,124346,4538
J9WtfmGwgF8,2025-12-04T19:00:20Z,Digga (Featuring 5 seconds of Hunch) - Nonchalant (Official Video),Digga ,24,Entertainment,"digga d, digga d woi, digga d chingy, digga d stfu, digga d energy, digga d music, digga d rap, rapper, uk rap, rap 2023, digga d wasted, digga d bluuwuu, digga d rapping, digga d nicki minaj, drill music, rap music, uk drill, uk hip hop, uk music, british drill, new music, music video, rap music video, rap video, uk rap scene, uk rappers, hot new artist, digga d arrdee, digga d aj tracey, digga d artist, rap, rappers, rap 23, new rap, digga d tlc, tlc, music",152,hd,false,False,299451,18870,925
sItUCKJQLTU,2025-12-04T20:53:14Z,A Knight of the Seven Kingdoms | Official Final Trailer | HBO Max,HBO Max,24,Entertainment,"hbo max, ser duncan the tall, a knight of the seven kingdoms hbo, george r.r. martin, dunk and egg, a knight of the seven kingdoms hbo max, a knight of the seven kingdoms trailer hbo, game of thrones, peter claffey, dexter ansell, a knight of the seven kingdoms trailer, dunk, egg, westeros, a song of ice and fire, house targaryen, game of thrones new series, a knight of the seven kingdoms game of thones, GoT, game of thrones new show, peter claffey dunk, finn bennett, knight, AKOTSK",152,hd,true,True,5581758,56648,3727
APJ-lT0sBhg,2025-12-05T14:56:45Z,GTA Online: A Safehouse in the Hills Coming December 10,Rockstar Games,20,Gaming,"GTA Online, GTAV, GTA5 Online, GTA 5, GTA Online Update, A Safehouse in the Hills, PS5, PS4, PlayStation 5, PlayStation 4, Xbox Series X|S, Xbox One, PC, Mansions, Michael De Santa",61,hd,true,True,1219873,104140,9073
PhAHl7-iMz4,2025-12-02T17:03:39Z,silent treatment,Freya Skye - Topic,10,Music,"Freya Skye, silent treatment",143,hd,false,True,874225,46837,5157
IaEtA56pd_w,2025-12-05T20:48:18Z,Iron Lung: Final Trailer,Markiplier,20,Gaming,"markiplier, iron lung, iron lung movie, official trailer, movie trailer, iron lung trailer 3, final trailer, iron lung release date, iron lung markiplier, Caroline Kaplan, troy baker",105,hd,false,False,2084361,325005,16819
2teag5QC7NA,2025-12-05T17:00:05Z,Nice Life: Episode 1 - It's A Wonderful Life,Grian,20,Gaming,"Minecraft, Grian, building, grian, mincraft, tutorial, yt:quality=high, minecraft, ideas, creative, build",2751,hd,true,True,1156114,93155,6028
1do2wUu9744,2025-11-20T18:00:07Z,Mazza L20 x Ed Matthews - Global Shutdown (Official music video),Mazza_l20,10,Music,"Mazza, Mazza L20, Drill Music, UK Drill, Rap music, Liverpool, Scouse, Grime, Grm Daily, Link Up TV, Mixtape, Against All Odds, Apple Music, Spotify, Concrete Jungle, hip hop music, Aitch, Central Cee, Potter Payper, bugzy, Aystar, Jaily Duppy",134,hd,false,True,876181,23194,4194
QlF68NIz8dg,2025-12-03T08:01:23Z,28 YEARS LATER: THE BONE TEMPLE - New Trailer (HD),Sony Pictures Entertainment,1,Film & Animation,"SonyPictures, Trailer, MovieTrailer, 28YearsLater, 28DaysLater, 28MonthsLater, DannyBoyle, AlexGarland, CillianMurphy, JodieComer, AaronTaylorJohnson, JackOConnell, AlfieWilliams, RalphFiennes, 28 Years Later Trailer, 28 Days Later Sequel, Danny Boyle, Alex Garland, Cillian Murphy, Jodie Comer, Zombie Apocalypse 2025, Post Apocalyptic Horror, Best Horror Movies 2025, 28 Months Later, Viral Outbreak Movie, British Zombie Film, Upcoming Horror 2025, 28 Years Later Release Date",140,hd,true,True,636777,19928,1590
BeaVJggQ2dc,2025-11-30T18:13:22Z,Race Highlights | 2025 Qatar Grand Prix,FORMULA 1,17,Sports,"F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, qatar, qatar grand prix, lusail, f1 highlights, wdc, lando norris, oscar piastri, mclaren, red bull",489,hd,false,True,6160989,124325,6573
RwaNmZnXKBU,2025-12-03T17:00:07Z,"Jador x Carmen de la Salciua - Ce faci, ești bine? | Official Video",Jador The Artist,10,Music,"jador, carmen de la salciua, ce faci esti bine ?, carmen, salciua, official audio, official video, 2025, 2026, Jador x Carmen de la Salciua - Ce faci ești bine? | Official Video",141,hd,false,True,1182281,36702,2663
XRRnP91SSrQ,2025-12-05T16:00:21Z,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,20,Gaming,,58,hd,true,True,1787749,161209,11923
tKSec5Zfxe4,2025-12-03T18:32:39Z,YouTuber Nostalgic Games Night,Chris Dixon,22,People & Blogs,,1921,hd,false,True,631437,28920,408
NED7nev2ywQ,2025-11-21T04:59:56Z,"Stray Kids ""Do It"" M/V",JYP Entertainment,10,Music,"JYP Entertainment, JYP, Stray Kids, 스트레이 키즈, SKZ, 스키즈, 방찬, BANG CHAN, 리노, LEE KNOW, 창빈, CHANGBIN, 현진, 황현진, HYUNJIN, 한, 한지성, HAN, 필릭스, FELIX, 용복, 승민, 김승민, SEUNGMIN, 아이엔, I.N, stray kids comeback, 스트레이 키즈 컴백, 스키즈 컴백, skz comeback, skz, 스키즈 티저, SKZ DO IT, stray kids do it, skz it tape, skz mv, skz music video, 스키즈 뮤비, 스키즈 두잇 뮤비, 두잇 뮤비, do it mv, 스키즈 두잇, 두잇 뮤직비디오, 스트레이 키즈 뮤비, stray kids music video, skz do it, 스트레이 키즈 뮤직비디오, 두잇 티저, 스키즈 두잇 티저, do it teaser, skz do it teaser, do it mv teaser",181,hd,true,True,39327973,1475853,142661
7K3sNRm8J0w,2025-12-03T13:59:16Z,READY OR NOT 2: HERE I COME | Official Trailer | Searchlight Pictures,SearchlightPictures,1,Film & Animation,,140,hd,true,True,2938617,58773,3606
KXRwiP5ZAlA,2025-12-03T18:27:55Z,I Boiled My Guests Alive! | Waterpark Simulator 6,Daz Games,20,Gaming,"Daz, games, daz, watches, daz black, HORROR, SCARY, LAUGH, COMEDY, DAZ GAMES, humor, daz watches, amazing, laugh, gaming, game, funny, amzing, most, ghost, vlog, best moments, top 10, reels",3260,hd,false,True,670019,30573,1858
JmeUtPih4U8,2025-11-27T19:00:06Z,CENTRAL CEE - BOOGA (MUSIC VIDEO),Central Cee,10,Music,"central cee, centralcee, central cee new song, central cee new video, truth in the lies, central cee wild west, central cee new album",111,hd,false,False,2850243,151464,8090
uI54qqXt2r8,2025-12-03T14:00:00Z,Emily in Paris | Season 5 Official Trailer | Netflix,Netflix,24,Entertainment,"Alfie, Ashley Park, Comedy, Comedy Series, Darren Star, Detour, Emily Cooper, Emily in Paris, Fashion, Gabriel, Julien, Lily Collins, Luc, Lucas Bravo, Lucien Laviscount, Marcello, Mindy Chen, Netflix Series, New Season, Nicolas, Paul Forman, Philippine Leroy-Beaulieu, RomCom, Romantic Comedy, Rome, Season 5, Sylvie, Trailer",128,hd,true,True,987321,14372,818
UFncQxMlXY0,2025-12-05T19:42:29Z,Opening 100 FESTIVE LUCKY BLOCKS in Steal a Brainrot..,CaylusBlox,20,Gaming,"caylusblox, caylus roblox, caylus, caylus gaming, caylus infinite, infinite lists, calus, callus, calis, roblox, caylus horror, caylus scary, caylus scariest, caylus scary myths, caylus creepy, caylus roblox horror, caylus roblox scary, Opening 100 FESTIVE LUCKY BLOCKS in Steal a Brainrot.., caylus aura, caylus steal a brainrot, caylus lucky blocks, caylus foltyn",673,hd,false,True,1492026,28395,4025
-q66T2dNml0,2025-11-26T19:30:30Z,Dave feat. Kano - Chapter 16,Santan Dave,10,Music,"dave, santandave, santan dave, new dave album, dave the boy who played the harp, the boy who played the harp, boy who played the harp, dave the boy who played the harp 2025, dave chapter 16, dave kano, dave and kano, dave kano chapter 16, dave kano lyrics, the boy who played the harp lyrics, kano dave, kano dave chapter 16, kano chapter 16, dave kano chapter 16 lyrics, chapter 16 dave kano, chapter 16 kano dave, kano, #dave, dave x kano, kano x dave, dave x kano chapter 16",419,hd,false,False,789025,64596,3659
V_UkrLROjkA,2025-12-02T14:01:47Z,Pokémon Legends: Z-A – Mega Dimension | Mega Lucario Z Reveal Trailer,The Official Pokémon YouTube channel,20,Gaming,"#pokemonlegendsza, #pokemon, #lumiosecity, #MegaLucario",101,hd,false,True,940672,38478,4422
Moj44i0tc8o,2025-12-02T20:00:22Z,Hermitcraft 11: Episode 4 - The Workshop,Mumbo Jumbo,20,Gaming,"ideas, creative, build, survival, tutorial, How to, MumboJumbo, ThatMumboJumbo, Minecraft, Building, Mumbo, Redstone, Technical, Piston, 1.9, 1.8, 1.10, 1.11, Gaming, Game, spotlight, showcase, challenge, command, mini-game, gameplay, playthrough, Let's Play, No Swearing, Family Friendly, mc, mcpe, vanilla, Xbox, 360, PS4, PE, pocket edition, mobile",1671,hd,false,True,1435914,87683,4549
3cZ_WE1QBWk,2025-11-17T16:34:18Z,Irish Guy Asks To Sing And COMPLETELY OUT-SINGS Me,Luke Silva,10,Music,"sam smith, lay me down, sam smith cover, lay me down cover, sam smith lay me down, lay me down sam smith, sam smith lay me down cover, lay me down sam smith cover, sam smith cover lay me down, lay me down cover sam smith, cover sam smith, cover lay me down, cover sam smith lay me down, cover lay me down sam smith, Busking, cover, street performance, street singer, busker, street busker, street cover, street music, London, London street singer, Luke Silva, Luke Silva music",296,hd,false,False,762726,14814,966
b-yiTAKbCKc,2025-12-04T22:00:47Z,"Warhammer 40,000: Dawn of War IV Story Trailer | Warhammer",Warhammer,20,Gaming,"Games Workshop, Citadel Miniatures, Warhammer Age of Sigmar, Warhammer 40000, Forge World, Black Library, 40K, AoS, GW, Astartes, Space marine, Tow, The Old world, Middle earth strategy battle game, lord of the rings, the hobbit, warhammer underworlds, necromunda, the horus heresy, legions imperialis, age of darkness, total war, space marine, space marine 2, Warhammer Fantasy",144,hd,true,False,729829,42805,3341
