video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
Jufw0fwANoc,2025-12-05T13:00:42Z,Geolier - 081 (Official Video),Geôlier2 OFFICIAL,10,Music,"Geolier, emanuele palumbo, musica, napoli, rap napoletano, musica urban, sanremo, geolier sanremo, sanremo 2024, geolier i p me tu p te, i p me tu p te geolier sanremo, secondigliano, il vero secondino geolier, el pibe de oro, geolier musica, geolier nuovo singolo, dio lo sa, geolier nuovo album, geolier video, geolier dio lo sa atto II, geolier 081, 081 geolier, geolier 081 official video, 081 geolier video ufficiale, 081",192,hd,false,True,307324,14826,812
2E-VdjZMsZA,2025-12-04T10:00:10Z,Buen Camino | Trailer Ufficiale | Dal 25 dicembre al cinema,Checco Zalone Official,10,Music,,102,hd,false,True,328458,9962,410
Xc7ib5YyDNU,2025-12-05T13:01:12Z,TROVO LA STANZA SEGRETA DI GIORGIO DOPO 3 ANNI SU MINECRAFT VANILLA!,WhenGamersFail ► Lyon,20,Gaming,"diamanti, cheat diamanti, minecraft xray, minecraft cheat, lyon cheat, lyon contro i miei amici, cheat dropper, hack minecraft, trucchi di minecraft, cheat minecraft, scherzo ad anna, scherzo lyon, non cadere, non entrare, non scegliere, lyon contro anna, minecraft, minecraft ITA, minecraft pe, minceraft, Lyon, whengamersfail, lyonwgf, failcraft lyon, lyon minecraft, lyon e anna, anna lyon minecraft, scuola di minecraft, failcraft, grief, casa di minecraft, minecraft sfida",6774,hd,false,True,103038,6361,274
7tJ3Ew3yBb4,2025-12-05T13:00:07Z,Me contro Te - QUELLI VERI (Dissing 2),Me contro Te Music,10,Music,"me contro te, me contro te music, me contro te canzoni, me contro te tik tok, sofi e lui, lui e sofi, me contro te musica, me contro te like me, like me, like me contro te, me contro te copia, copia copia copia, me contro te copia copia copia, copia me contro te, quelli veri, me contro te quelli veri, nuova canzone me contro te, me contro te nuova canzone, dissing, dissing me contro te, me contro te dissing 2, canzone dissing, me contro te nuovi video",112,hd,false,True,118873,9471,1511
VI6XO8EijT4,2025-12-05T20:00:28Z,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,true,True,4246050,432146,25505
ABmdL-NMwjQ,2025-12-05T13:00:21Z,MINECRAFT MA TUTTO È ESTREMAMENTE OP!!,Kendal,20,Gaming,"Minecraft, Kendal",1455,hd,false,True,99584,6965,209
A-JPO7HysAI,2025-12-04T23:00:26Z,Prega X Noi,Sfera Ebbasta - Topic,10,Music,"Sfera Ebbasta, XDVR ANNIVERSAR10, Prega X Noi",144,hd,false,True,68425,3787,240
kF8PkMc3G9g,2025-12-04T13:27:41Z,BUEN CAMINO (2025) Trailer | Checco Zalone | Film Commedia,FilmIsNow Trailer Italia,1,Film & Animation,"Buen Camino, Buen Camino trailer, Buen Camino trailer 2025, Buen Camino film 2025, migliori film, film da non perdere, film in uscita, prossimamente al cinema, coming soon, film trailers, filmisnow italia, Buen Camino trailer italiano, Buen Camino trailer ita, Checco Zalone",122,hd,false,True,87684,1550,139
4u8MmjNGXgo,2025-12-05T17:33:27Z,MI INFILTRO nel SERVER di SOLI YOUTUBER con L'ACCOUNT di SAMMY su STEAL A BRAINROT...,Gabbry Roblox,20,Gaming,"MI INFILTRO nel SERVER di SOLI YOUTUBER con L'ACCOUNT di SAMMY su STEAL A BRAINROT..., mi, infiltro, nel, server, di soli, youtuber, su steal a brainrot, con l'account admin, steal a brainrot, trollo uno youtuber, roblox ita, video divertenti, gabbry",966,hd,true,True,76800,1787,162
11ilKzsR6CE,2025-12-05T00:00:01Z,Emis Killa - SERPE (feat. Capo Plaza) [Official Visual Video],Emis Killa,10,Music,"emis killa, emis",179,hd,false,True,57434,2359,56
XRRnP91SSrQ,2025-12-05T16:00:21Z,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,20,Gaming,,58,hd,true,True,1787749,161225,11924
cVtuso74AdM,2025-12-04T15:15:44Z,Trova tutti i brainrot per vincere su roblox!,Roby e Jenny ROBLOX,20,Gaming,"Roby, Jenny, Roblox, Giochi, Ita, Italiano, Roby e Jenny, Roby e Jenny Roblox",1343,hd,false,True,160854,3851,297
VmNXiAWcoAY,2025-12-04T23:38:49Z,Il Pagante ft. Ludwig - Milano Cortina (Official Video),johnnyilpagante,10,Music,"il pagante, johnnyilpagante, music",306,hd,false,True,87651,4122,159
9ucM8DnOTq4,2025-12-04T13:21:20Z,Buen camino Trailer Ufficiale: Il trionfo della mediocrità,victorlaszlo88,24,Entertainment,"victorlaszlo88, buen camino, buen camino trailer, checco zalone, gennaro nunziante",846,hd,false,True,34735,2001,568
tdMWnFNSA-4,2025-12-05T13:10:01Z,COSA PREFERIRESTI BANNATO su STEAL A BRAINROT..,Max Random,20,Gaming,"max random, max random ultimo video, max random preferiresti, cosa, preferiresti, max random steal abrainrot, max random steal a brainrot ita, steal a brainrot ita, preferiresti steal a brainrot, cosa preferiresti, cosa preferiresti estremo, steal a brainrot preferiresti, challenge steal a brainrot, da povero a ricco, sammy, sammy admin steal a brainrot, preferiresti bannato, COSA PREFERIRESTI BANNATO, brainrot bannati, brainrot bannati steal a brainrot",1284,hd,false,True,71136,1499,102
J5h-BatSBAY,2025-12-05T13:00:46Z,"Ultimo - BELLA DAVVERO (Live Stadio San Nicola, Bari, 23 luglio 2025)",Ultimo Channel,10,Music,"ultimo, ultimopeterpan, ultimo peterpan, niccolo moriconi, ultimorecords, ultimo records, honiro",280,hd,false,True,50799,3067,156
PUOwvlRHDKA,2025-12-05T13:01:01Z,Hammon Cinematic Universe (Trailer di Lancio Ufficiale),FIAMA 4TL,10,Music,,495,hd,false,False,8476,1558,151
dVsYq9_c8pc,2025-12-05T12:59:34Z,15-0 CON LA NUOVA CARTA di TOTTI??,Zano XVII,20,Gaming,"wl, weekend league, fut champions, zano wl, zano weekend league, fc 26, fc 26 weekend league, totti, totti fc 26, francesco totti, totti fc 26 gameplay, totti fc 26 review, ho comprato francesco totti, zano, zano xvii, pack opening, fc 26 gameplay, fc 26 pack opening, fc 26 zano, zano ea fc 26, pack opening fc 26, fc 26 playstyles, ultimate team, fc 26 ultimate team, fut",1294,hd,false,True,101894,8296,158
3CQFd2WY9Do,2025-12-05T13:00:06Z,IvanBi - FLIP FLOP (Official Video),IvanBi,10,Music,"Ivanbi, G&V, GinEVodka, Nuova Musica Italiana, Rap Italia, Trap Italiana, Urban Music, Catania, Sicilia, Musica Siciliana, Made In Catania, PartyVibes, Street Vibes, NewMusic2025, VideoClip Ufficiale, Emergenti Italia, ivanbi, ivan bi, ivanbi rapper, ivanbi musica, ivanbi video, ivanbi flip flop official video, flip flop ivanbi, ivanbi flip flop, flip flop, ivanbi flip flop video ufficiale",170,hd,false,True,30547,2165,83
sItUCKJQLTU,2025-12-04T20:53:14Z,A Knight of the Seven Kingdoms | Official Final Trailer | HBO Max,HBO Max,24,Entertainment,"hbo max, ser duncan the tall, a knight of the seven kingdoms hbo, george r.r. martin, dunk and egg, a knight of the seven kingdoms hbo max, a knight of the seven kingdoms trailer hbo, game of thrones, peter claffey, dexter ansell, a knight of the seven kingdoms trailer, dunk, egg, westeros, a song of ice and fire, house targaryen, game of thrones new series, a knight of the seven kingdoms game of thones, GoT, game of thrones new show, peter claffey dunk, finn bennett, knight, AKOTSK",152,hd,true,True,5581758,56655,3727
BbTWfiWNGYg,2025-12-05T14:05:38Z,La FARM ENORME di FERRO!! MINECRAFT SURVIVAL CHILL EP.35,LolloLacustre,20,Gaming,"maincraft, lollolacruste, lollocaUSTO, lollolacaustre, minecraft, minecraft ita, lollo minecraft, lollo lacustre, lollo tiktok, il king dei diamanti, survival lollo, lollo survival chill, surry minecraft, surry survival, brawl stars lollo, lollo brawl pass, lollo hardcore, survaivol lollo, farm lollo, minecraft survival ita, lollo record coppe, lollo guadagni, lollo studio, lolli, lollo favij, lollo dissing, lollo horror, lollo minecraft horror, lollo freestyle, lollo musica",4025,hd,false,True,66900,6904,263
RwaNmZnXKBU,2025-12-03T17:00:07Z,"Jador x Carmen de la Salciua - Ce faci, ești bine? | Official Video",Jador The Artist,10,Music,"jador, carmen de la salciua, ce faci esti bine ?, carmen, salciua, official audio, official video, 2025, 2026, Jador x Carmen de la Salciua - Ce faci ești bine? | Official Video",141,hd,false,True,1182281,36703,2663
ETVVdIRWoFg,2025-12-03T14:00:03Z,Emily in Paris | Stagione 5 - Trailer ufficiale | Netflix Italia,Netflix Italia,24,Entertainment,"Alfie, Ashley Park, Commedia, Commedia romantica, Darren Star, Emily Cooper, Emily in Paris, Gabriel, Imprevisto, Julien, Lily Collins, Luc, Lucas Bravo, Lucien Laviscount, Marcello, Mindy Chen, Moda, Nicolas, Nuova stagione, Paul Forman, Philippine Leroy-Beaulieu, Roma, Serie Netflix, Serie commedia, Stagione 5, Sylvie, Trailer",128,hd,true,False,26315,453,19
OoAfS-5YUlI,2025-12-05T13:23:05Z,Voto TUTTI i GIOCHI DELL'ANNO!!  - TIER LIST GOTY (2003-2025),MikeShowSha,20,Gaming,,1435,hd,false,True,74777,10454,224
gSLOPJqwkCo,2025-12-04T23:00:59Z,Laura Pausini - RITORNO AD AMARE (Official Video),laurapausinitv,10,Music,"#pausini30th, laura pausini, laura, pausini, pausini la solitudine, music, pop music, video pausini, almas paralelas, laura pausini almas paralelas, laura pausini video, RITORNO AD AMARE, Laura Pausini - RITORNO AD AMARE, laura pausini RITORNO AD AMARE video ufficiale, laura pausini cover biagio antonacci, ritorno ad amare antonacci cover, laura pausini RITORNO AD AMARE official video, biagio antonacci, ritorno ad amare antonacci",276,hd,false,True,124931,7198,886
qFKhUJTnC-E,2025-12-04T16:44:01Z,Total War: MEDIEVAL III - Announce Trailer,Total War,20,Gaming,"Total War, warhammer, total war warhammer, rome total war, warhammer 2 total war, total war rome 2, medieval total war, medieval total war 2, three kingdoms total war, total war gameplay, shogun 2 total war, total war saga, total war warhammer gameplay, 3 kingdoms, new, gameplay, trailer, warhammer 3, total war warhammer 3, Total War PHARAOH, pharaoh, total war deep dive, deep dive, gameplay showcase, total war gameplay showcase",94,hd,true,False,512098,34565,5349
qa38vdx4ZAw,2025-12-05T13:01:48Z,PECCATO CAPITALE... 10700 COPPE e SUPERO MAJIN CICCIO! ❤️‍🔥 Clash Royale ITA,Grax,20,Gaming,"Grax, video grax, giochi mobile, giochi per smartphone, giochi per cellulare, giochi android, giochi ios, giochi apple, clash of clans, grax clash of clans, clash of clans ita, clash royale, grax clash royale, clash royale ita, brawl stars, grax brawl stars, brawl stars ita, clash mini, grax clash mini, clash mini ita, squad busters, grax squad busters, squad busters ita, supercell, grax supercell, giochi supercell, nuovo gioco supercell, live grax",2289,hd,false,True,64296,4666,108
9ME5J_bnFiA,2025-12-03T17:00:10Z,Nikita & Mariglen Hazizaj - Engjëll babi im (Official Video),Mariglen Hazizaj,24,Entertainment,nikita mariglen hazizaj engjell babi official video,324,hd,false,True,666026,39468,3339
IaEtA56pd_w,2025-12-05T20:48:18Z,Iron Lung: Final Trailer,Markiplier,20,Gaming,"markiplier, iron lung, iron lung movie, official trailer, movie trailer, iron lung trailer 3, final trailer, iron lung release date, iron lung markiplier, Caroline Kaplan, troy baker",105,hd,false,False,2084361,325040,16823
mG92gl0SlBc,2025-12-05T13:01:44Z,UNA COMPETIZIONE MOLTO SANA.,Delux,24,Entertainment,"delux, addobbogang, addobboland, addobboclub, 4bacco, forbacco, perbacco, melagoodo, sdrogo, deluxia, video, divertenti, intrattenimento, giochi, videogiochi, melagoodo office, melagoodo house, melagoodo rivals, melagoodo riivals, dread, rohn, trackmania, weekly, new week, weekly 7",3079,hd,false,True,36269,3715,67
vbVjtF44sIY,2025-12-05T17:00:06Z,Irama - Tutto Tranne Questo (Piano e Voce - Live Performance),IRAMA OFFICIAL,10,Music,"irama, irana, irama video, il giorno in cui ho smesso di pensare, irama video ufficiale, irama amici, irama sanremo, sanremo 2025, irama nuovo album, irama Antologia Della Vita e Della Morte, Antologia Della Vita e Della Morte irama, Tutto Tranne Questo irama, filippo maria fanti, irama Tutto Tranne Questo piano e voce, Tutto Tranne Questo, irama tutto tranne questo live performance, irama live piano e voce tutto tranne questo",158,hd,false,True,29094,3349,265
zNSOjQPgk_k,2025-12-04T22:55:42Z,'Line of Contact' Update Trailer / War Thunder,War Thunder. Official channel.,20,Gaming,"war thunder, wt, war thunder update, war thunder trailer, trailer, update",214,hd,true,False,514213,43435,5459
1KcLFtjWXKw,2025-12-05T13:00:22Z,GHSBR CORSE del DEGHEJO 👹,oessaM,20,Gaming,"Oessamli, Oessam, ilMasseo, Masseo, GTA 5, GTA V, GTA Online, corse GTA, custom race GTA, race montage GTA, driving GTA V, Los Santos races, videogiochi, gameplay GTA, GTA 2025, gta5 online italia, gta italia, modded races GTA, gta fun, gta races, gta community, gta5 custom maps, gta5 race video, Dread, Rohn, Mollu, Jtaz, GHSBR CORSE del DEGHEJO 👹",1416,hd,false,True,46858,6935,65
85ETxUOFnfM,2025-12-04T18:00:06Z,Danny Ocean - Me Rehúso (Letra),Caribeo,22,People & Blogs,,206,hd,false,True,379996,535,5
pyS909TVyQY,2025-12-04T14:01:35Z,The God Slayer - Gameplay Trailer | PS5 Games,PlayStation,20,Gaming,"PlayStation, PS5, video games, next gen, Sony, the god slayer, gameplay, gameplay video, celestials, gods, steampunk, asian steampunk, RPG game, Steampunk, Reveal trailer, Open World RPG, Elemental combat game, Fantasy RPG Playstation, New Playstation games 2026, Single player RPG, Next gen RPG, avatar, RPG, fantasy, Story driven RPG, The God Slayer trailer, Final Fantasy, Celestial, pathea games, qi, martial arts, divine, energy, god fall, eastern, water, fire, metal, earth, wood",459,hd,false,True,1018261,49119,3840
0C5erwbRA9U,2025-12-05T13:20:00Z,CONTROLLO LA MENTE di GIGINO CON LA BASE 100% INVISIBILE NELLA SUA TESTA su STEAL A BRAINROT!,Max e Gigino ROBLOX,20,Gaming,"max e gigino, max e gigino roblox, max e gigino ultimo video, max e gigino steal a brainrot, max e gigino controllo la mente, controllo la mente a gigino, controllo la mente di gigino, steral a brainrot controllo la mente, controllo gigino per 24 ore, controllo gigino su roblox, CONTROLLO LA MENTE di GIGINO, BASE 100% INVISIBILE NELLA SUA TESTA, base 100% invisibile nella testa di gigino",1193,hd,false,True,45144,2169,135
TJN6xqJjXVA,2025-12-01T14:00:52Z,Gente de Zona - La Gozadera ft. Marc Anthony (Letra / Lyrics),7clouds TikTok ,22,People & Blogs,"gente de zona ft marc anthony - la gozadera letra, letra la gozadera gente de zona ft marc anthony, gente de zona ft. marc anthony la gozadera letra, gente de zona & marc anthony la gozadera lyrics, gente de zona marc anthony la gozadera letra, gente de zona la gozadera letra ft. marc anthony, gente de zona & marc anthony la gozadera letra, gente de zona la gozadera lyrics ft. marc anthony, gente de zona la gozadera ft. marc anthony (letra), Gente de Zona, Marc Anthony, La Gozadera",204,hd,false,True,274768,629,5
UWJhTPq6iCk,2025-12-05T20:04:38Z,*UFFICIALE* MICHAEL DE SANTA RITORNERÀ NEL NUOVO DLC DELLE VILLE DI GTA ONLINE! (Trailer DLC Ville),zWillyx,20,Gaming,"gta 5, grand theft auto 5, grandtheftautov, gtav, gta 5 ita, gta v ita, gta, rifugio in collina, un rifugio in collina trailer, teaser trailer safehouse in the hills, safehouse in the hills gta online, dlc ville dicembre gta online, gta 5 online espansione dicembre, gta 5 online dlc natale 2025, gta online espansione natale, villa gta online, aggiornamento ville gta v online, ville su gta online, rifugio collina gta online, gta online dimore di lusso, case su gta online, dlc ita",554,hd,false,False,5206,443,62
eSPxjiHvb8g,2025-12-03T15:30:30Z,chi è piu forte ROBY o LORENZIST su steal a brainrot?,Roby,24,Entertainment,"roby, roblox, Roblox, ROBLOX, robi, roblo, robloc, adopt, me, ita, video, nuovo, italy, polar, bear, roblox ita, the zoo, zoo squad, roby nuovo video, roby polar bear",2358,hd,false,True,176865,4002,817
