video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
iHdaqw6bTQY,2025-11-24T05:55:02Z,បើគេសួរអូន,ព្រាប សុវត្ថិ - Topic,10,Music,"ព្រាប សុវត្ថិ, បើគេសួរអូន",211,hd,false,True,1224137,3621,57
VpLGEd6wKnU,2025-11-26T04:11:00Z,"【 ខ្លាទាំង 3 កម្ចាត់ជនពាល / Prism Breaker 】TVB Trailer (2025) | Bosco Wong, Kenneth Ma, Moses Chan",TVB Cambodia Drama,24,Entertainment,"TV Series, Hongkong Drama, TV, TVB, Khmer Dub, Drama, ភាពយន្តភាគ, រឿងភាគហុងកុង, រឿងភាគនិយាយខ្មែរ, ដ្រាម៉ា, Cdrama, រឿងចិននិយាយខ្មែរ, សម្រាយរឿង, រឿងល្បីៗ, រឿងថ្មីៗ, រឿងចិន2025, Drama Cambodia, Drama tvb, drama kh, drama hongkong, Cdrama eng sub, Cdrama recommendation, Action, Thriller, Police, Crime",109,hd,false,True,113204,833,49
zeLFcDX4MgE,2025-12-02T04:01:08Z,ខ្ញុំបាន ITEM ខុសច្បាប់នៅក្នុង​ Minecraft!,KiraTheQwaason,20,Gaming,"@KiraQwaason, Minecraft, Minecraft Khmer, Funny",2042,hd,false,True,157632,8058,422
Pny2-454V-k,2025-11-25T10:00:07Z,អារម្មណ៍បែកបាក់គ្នា | ខេមរៈ សិរីមន្ត [ OFFICIAL AUDIO ],ខេមរៈ សិរីមន្ត / Khemarak Sereymun,22,People & Blogs,"អារម្មណ៍បែកបាក់គ្នា | ខេមរៈ សិរីមន្ត, អារម្មណ៍បែកបាក់គ្នា, khemarak Sereymun, Khemarak, Sereymun, ខេមរៈ សិរីមន្ត, ខេមរៈ, សិរីមន្ត, KSM, ខេមរះ, ខេមរះ សិរីមន្ត, បែកបាក់គ្នា, អារម្មណ៍បែកបាក់, បែកគ្នា, អារម្មណ័បែកគ្នា",339,hd,false,False,901607,5336,156
FpXiIVzZafM,2025-11-30T03:00:20Z,[Trailer]- រឿង កូនប្រសាស្រីកាត់បំណុល ឆាប់ៗនៈ |［PNN Official Trailer］,PNN Drama Official,22,People & Blogs,"Local drama, TV variety shows, Khmer celebrities, TV reality shows, TV concerts, Live concert, Khmer singers, Khmer stars, Khmer song, កូនប្រសារស្រី2025, កូនប្រសារស្រីកាត់បំណុល, កូនប្រសារស្រីត្រកូលទាប, កូនប្រសារស្រីខុសសាសន៍, ពាន់ភួងបុផ្ផា, PNNDrama, PNNKhmerDrama, PNNLocalDrama, គាំទ្ររឿងភាគខ្មែរ, ឆាប់ៗនេះ, វគ្គកូនប្រសាស្រីកាត់បំណុល, ទ្រីតារាវុធ, Roza, Narady",92,hd,false,True,13609,248,8
pHPw8z6N7Ng,2025-12-06T05:01:06Z,ធ្វើឲ្យរបស់ក្នុង Minecraft មានប្រយោជន៍ជាងមុន EP 2,HH,20,Gaming,"minecraft khmer, minecraft khmer server 2021, minecraft khmer server, minecraft khmer 2021, minecraft khmer play, minecraft khmer mod, minecraft khmer smp, minecraft khmer download, minecraft 100 days khmer, minecraft squid game khmer, minecraft khmer house, minecraft java khmer, របៀប mod minecraft khmer, minecraft multiplayer khmer, minecraft online khmer, minecraft khmer pc, minecraft khmer play 2020, minecraft server khmer 2021 pe, GTAV, GTA5, GTARP",802,hd,false,True,120252,5589,206
_I-dNqOWoo0,2025-12-04T11:09:48Z,TEP PISETH - ដល់ពេលហេីយ,Tep Piseth,10,Music,"TPS, Tep Piseth, V9.17, Rapper, Khmer Young Rapper, 20'OutNow, Khmer Rapper",248,hd,true,True,198262,11970,653
GEYZFaf4Vhc,2025-11-29T04:53:38Z,ឃ្លាំងប្រឆាំងច្បាប់ធម្មជាតិ? - Minecraft,Cubekhmer official,20,Gaming,,483,hd,false,True,143108,2426,121
rifGq3jF824,2025-12-03T10:34:06Z,អារម្មណ៍បែកបាក់គ្នា | ឧកញ៉ា ខេមរៈ សិរីមន្ត [ MUSIC VIDEO BAND ],Galaxy Navatra KH,10,Music,"KSM, Khemarak Sereymun, galaxy, galaxy kh, galaxy navatra, galaxy remix, hiphop, navatra, pop music, pop song, remix, remix version, ខេមរៈ សិរីមន្ត, គ្នា, ចម្រៀងgalaxy, បទRemix, បទgalaxy, បទក្នុងTikTok, បទចម្រៀងខ្មែរ, បទញ៉ាក់, បទតិកតុក, បទពីរោះៗ, បទមនោសញ្ចេតនា, បទលេ, បទលេងTikTok",269,hd,true,True,169621,1861,63
kclw2oWe7kA,2025-12-04T11:14:58Z,គេទាក់អាលុកបាត់ រវល់តែលក់ហ្វឺនៅវៀតណាម ! 😭 | Brother Hai's Pho Restaurant,Selena Gaming II,20,Gaming,"minecraft, minecraft khmer, selenagaming minecraft, Funny game, Selena Gaming Horror, Selena Gaming funny game, Selena Gaming Horror Game, Selena Gaming Survival Game, Selena Gaming Simulator game, Selena PC game, pc game khmer, Selena Gaming Minecraft, Selena Gaming Cambodia, Selena Gaming",5284,hd,false,True,110146,2525,192
7ZYYb1-nzrs,2025-12-05T13:00:06Z,GMENGZ - SHE LOVE GANGSTA នាងស្រលាញ់ក្មេងស្ទាវ [OFFICIAL MUSIC VIDEO],GMENGZ,10,Music,,191,hd,true,True,132189,10265,485
C9je_oP9DCE,2025-12-02T09:19:52Z,បិសាច..ប្រែត...កវែង...ក្នុង Minecraft !!!,Vk - វីខេ,20,Gaming,"VK gaming, Selena Gaming, HH, vpro, minecraft, minecraft kh, minecraft but, VK minecraft, vk Minecraft, Vk Gaming Minecraft, Pumping Simulator 2, Minecraft But, Minecraft Challage, pumping simulator 2, vpro car simulator, minecraft mod khmer, minecraft sever khmer, selena minecraft, Minecraft but, Vk gaming minecraft khmer, Minecraft Tektopia, Minecraft mod Pack, hh Minecraft, craft giant item minecraft, gameplay",921,hd,false,True,109811,2708,124
