video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
Y9AXKgqGwN4,2025-11-27T21:00:07Z,BLOK3 - KUSURA BAKMA (Official Music Video),Blok3,10,Music,"blok3, blok, hakan, aydın, blok3 kusura, blok3 bakma, blok3 kusura bakma, hako, blok kusura, blok bakma, blok kusura bakma, kusura bakma, kusura, bakma, Senden geçemiyorum ben hâlâ, özledim ama söyleyemiyorum, Her detayın aklımda, unutmam asla, Çok içtim önümü göremiyorum, Ama allah var seni çok özledim, Daha dur anlatma, doluyor gözlerim, Yalanım yok, yalanım yok, Sensiz beni bende sevmedim, ben hala, özledim, ama söyleyemiyorum, senden geçemiyorum, mundo, müzik",174,hd,false,False,21373048,396682,30208
Fv0leN8TmR8,2025-12-07T00:00:04Z,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,24,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, karen fukuhara, chace crawford",121,hd,true,True,5107672,254056,13797
S-LMSpzlnc0,2025-12-07T15:44:41Z,Race Highlights | 2025 Abu Dhabi Grand Prix,FORMULA 1,17,Sports,"F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, abu dhabi, f1 2025 championship",503,hd,false,True,2548229,66128,6207
kpv46Phe_Mw,2025-12-05T09:00:03Z,Клава Кока - СПЛЕТНИ. ШУМ. ЛУК.  (Клип 2025),Клава Кока,10,Music,"клип, клава кока, Баста, Ксения Собчак, Дима Билан, Ваня Дмитриенко, Бустер, Братишкин, deepins, Satyr, Exile, Frame Tamer, ЕГОРИК, Прохор Шаляпин, Алексей Жидковский, Антон Шастун, Кукояка, nkeeei, МОТ, DILARA, Илья Куруч, Джарахов, Гоша Карцев, Лариса Долина, MARGO, Краймбрери, Каграманов, Кравец, Lovv66, Маш Милаш, Пересильд, Pokrov, ТРАВМА, JONY, ГАВРИЛИНА, Tenderlybae, Джиган, Тодоренко, Басков, Олег Майами, Rakhim, SERYABKINA, Artik&Asti, Ревва, Куруч, Карцев, Щербакова, klava koka, СПЛЕТНИ, ДимаМасленников",132,hd,false,True,570519,12521,1428
VI6XO8EijT4,2025-12-05T20:00:28Z,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,true,True,6101816,523783,29609
_kVeSMFqaas,2025-12-06T11:10:15Z,В меня влюбилась КАТЯ - Все СЛИШКОМ Хорошо ➲ Зайчик 5 эпизод ➲ Tiny Bunny 5 Эпизод!,windy31,24,Entertainment,,3157,hd,false,True,872093,54388,5155
Qs4bpOrkpx8,2025-12-05T07:00:07Z,FLEMMING & Metejoor - Niet Nodig (Officiële video),FLEMMING,10,Music,,168,hd,false,False,47167,1561,139
XRRnP91SSrQ,2025-12-05T16:00:21Z,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,20,Gaming,,58,hd,true,True,2698345,197376,14421
KgsTBDRttPg,2025-12-06T14:00:39Z,I Got Hunted By the Minecraft LAW,Wemmbu,20,Gaming,"wemmbu, flamefrags, unstable smp, wemmbu vs flamefrags, wemmbu unstable smp, wemmbu farlands, minecraft farlands, wemmbu minecraft, wemmbu orbital cannon, orbital strike cannon, unstable universe, wemmbu unstable universe, weembu, wembu, wemmbu dead, How I DIED on a Hardcore Minecraft SMP, wemmbu flamefrags, 2 Minecraft Pros VS 1000 Players, parrotx2, spokeishere, wemmbu prisoner, wemmbu prison, lettucek, wemmbu lettucek, wemmbu law, wemmbu escape",4688,hd,false,True,3568793,187708,18995
vd8o25lRY3A,2025-11-29T09:01:30Z,"Jakone, Kiliana - Жиганская (official video)",GOLDEN SOUND,10,Music,,148,hd,false,True,1771115,20880,394
h_zikuWihTo,2025-12-07T00:18:15Z,"Пацаны (5 Сезон) - Русский трейлер (Субтитры, 2026) Карл Урбан, Энтони Старр",FRESH Trailers,1,Film & Animation,"the boys, the boys trailer, 2026, movie, film, official, пацаны 5 сезон, пацаны 5 сезон трейлер, пацаны Сезон 5, пацаны, пацаны трейлер, пацаны русский трейлер, пацаны 2026, фантастика, боевик, драма, комедия, криминал, смотреть, hd, сериал, интересные фильмы, новинки кино, кино новинки, трейлер, трейлер 2026, трейлеры, трейлеры 2026, фильмы, фильмы 2026, фильм, фильм 2026, кино, кино 2026, русский трейлер, трейлер на русском, трейлер фильма, trailers 2026, fresh trailers",122,hd,false,False,350414,9909,874
XA2lzDUuwk4,2025-12-01T16:00:55Z,LOGS10 | AMONG US met DYLAN HAEGENS | #1,Legends of Gaming NL,20,Gaming,"legends of gaming nl, legends of gaming, log, log stefan, log don kaaklijn, log gamemeneer, log qucee, log julia heetman, log sean demmers, log morrog, log dioni, log harm, log jeremy, among us, legends of gaming among us, among us log, among us modded, modded among us, LOGS10, legends of gaming seizoen 10, Dylan LOG, legends of gaming ledge, de ledge, ledge log, log among us, qualifier, danger zone log, qualifier log, mystery legend, mystery legend log",3360,hd,false,True,235074,8014,421
AxVjaVjmEyE,2025-12-04T15:00:06Z,DS x Elijah - Lightwork Freestyle 🇳🇱 | Pressplay,Pressplay Media NL,10,Music,"pressplay, pressplay media nl, drill, ukdrill, dutchdrill, fog, ksb, z42, hsq, zq, sk6, 73, 24, owb, 7h, kbc, edg, ssq, lightwork freestyle, karma k lightwork freestyle, kl lightwork freestyle, lowkey lightwork freestyle, fumez, plugged in, listen up, pressplay media, kd3, 52, gregossan Lightwork freestyle, probleemkind Lightwork freestyle, 7t, elijah, ds, purmerend",154,hd,false,True,20779,771,147
sItUCKJQLTU,2025-12-04T20:53:14Z,A Knight of the Seven Kingdoms | Official Final Trailer | HBO Max,HBO Max,24,Entertainment,"hbo max, ser duncan the tall, a knight of the seven kingdoms hbo, george r.r. martin, dunk and egg, a knight of the seven kingdoms hbo max, a knight of the seven kingdoms trailer hbo, game of thrones, peter claffey, dexter ansell, a knight of the seven kingdoms trailer, dunk, egg, westeros, a song of ice and fire, house targaryen, game of thrones new series, a knight of the seven kingdoms game of thones, GoT, game of thrones new show, peter claffey dunk, finn bennett, knight, AKOTSK",152,hd,true,True,10258925,71305,4633
_JBWvRm74L0,2025-12-07T07:15:06Z,Job Speelt Zielige Update In 99 Nachten In Het Bos... In Roblox!,DutchtuberGaming,20,Gaming,"brookhaven, roblox brookhaven, dutchtuber brookhaven, dutchtuber roblox, roblox dutchtuber, brookhaven job, roblox brookhaven dutchtuber, brookhaven dutchtuber roblox, dutchtuber2, dutchtubergaming, dutchtuber job brookhaven, brookhaven rp, brookhaven verhaal, brookhaven geheimen, brookhaven geheim, leuk, grappig, entertainment, amusement, gaming, roblox",894,hd,false,True,60660,2742,283
SixTbTc6YCg,2025-12-05T17:00:06Z,"Ice Spice, Tokischa - Thootie",IceSpiceVEVO,10,Music,"Ice Spice, Tokischa, 10K Projects/Capitol Records, Hip Hop",153,hd,true,True,1167849,82088,3701
IaEtA56pd_w,2025-12-05T20:48:18Z,Iron Lung: Final Trailer,Markiplier,20,Gaming,"markiplier, iron lung, iron lung movie, official trailer, movie trailer, iron lung trailer 3, final trailer, iron lung release date, iron lung markiplier, Caroline Kaplan, troy baker",105,hd,false,False,3047983,411193,19427
Oa0tqKHb4VA,2025-12-07T14:00:51Z,Unstable SMP: The First King,Parrot,20,Gaming,"Minecraft, Minecraft SMP, SMP, Minecraft Server, LifeSteal SMP, School Minecraft Server, School SMP, School Parrot, Parrot, ParrotX2, Dream SMP, TommyInnit, LifeSteal, parrot lifesteal smp, Spoke, minecraft survival, minecraft hardcore, minecraft challenge, minecraft server, HermitCraft, MumboJumbo, Grian, why i broke 100+ bedrock, Here's Why I Made 12240 Minecraft Cakes, Minecraft Hunt, LifeSteal Season 3, 1 Heart Minecraft, LifeSteal Season 4, Why I Removed the World",3568,hd,false,True,1576526,89653,10499
