video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
5TOjrX1EjWg,2025-12-01T17:00:06Z,Grupo Firme - El Beneficio De La Duda (Letra),LowDrow,10,Music,"grupo firme - el beneficio de la duda letra, grupo firme el beneficio de la duda (letra), el beneficio de la duda letra, el beneficio de la duda lyrics, el beneficio de la duda grupo firme letra, grupo firme letra oficial, banda sinaloense 2025, regional mexicano 2025, musica mexicana 2025, corridos romanticos 2025, grupo firme canciones 2025, el beneficio de la duda subtitulos, el beneficio de la duda sub español, el beneficio de la duda video oficial",246,hd,false,True,980090,1658,10
VI6XO8EijT4,2025-12-05T20:00:28Z,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,true,True,4246050,432132,25505
yDuaNgeMs6Y,2025-12-05T01:50:53Z,BAJÉ AL ASCENSOR EN ROBLOX!,FedeGames,20,Gaming,"minecraft, videos de juegos, juegos, gameplays, fede games, fede gameplays, videos de minecraft, vecibanda, fede y sus vecinos, fede vigevani, federico vigevani, vecinos minecraft, videojuegos, bajé al ascensor, roblox",1033,hd,false,True,2971099,97691,6963
MlCMzfEY7kM,2025-12-02T16:00:06Z,Beéle - Quédate (Letra),Caribeo,22,People & Blogs,,177,hd,false,True,1353420,1449,15
XRRnP91SSrQ,2025-12-05T16:00:21Z,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,20,Gaming,,58,hd,true,True,1787749,161225,11923
PSjg4_Zf9CI,2025-12-03T19:44:23Z,Sobreviví 10 Días en ONEBLOCK... de Terror,Rubius Z,20,Gaming,"elrubius, rubius, serie, oneblock, terror, minecraft terror, mod, oneblock terror, oneblock minecraft, rubius oneblock, rubius serie, isla, skyblock, nuevo, minecraft, mods, one block, minecraft one block rubius, one-block, one block 2, herobrine, casa, isla minecraft, ep 2",1795,hd,false,True,1942021,129648,2033
MNj1-fTkEDE,2025-11-28T05:00:29Z,Romeo Santos & Prince Royce - Lokita Por Mí (Lyric Video),Romeo Santos,10,Music,"Romeo Santos, Prince Royce, Romeo Santos Prince Royce, Romeo Santos 2025, Prince Royce 2025, Romeo Santos New Album, Prince Royce New Album, Romeo Santos Prince Royce New Album, Better Late Than Never, Estocolmo, Lokita Por Mí, Jezabel, Dardos, La Amaré, Celeste, Ay San Miguel, Encerrados, Menor, Blanca Nieves, Mi Plan, La Ultima Bachata, Romeo Santos Letra, Prince Royce Letra, Romeo Santos Lyrics, Prince Royce Lyrics, Romeo Santos Video Oficial, Prince Royce Video Oficial",240,hd,false,True,4829255,71286,2479
ODQi85iKTk4,2025-12-02T21:13:10Z,REACCIONANDO A TRAILERS FUNABLES DE DISNEY #2 🤡,Speak,24,Entertainment,"REACCIONANDO A TRAILERS FUNABLES DE DISNEY 🤡, reaccionando, trailers, funables, de, disney, meme, memes, comedia, entretenimiento, johan speak, johan, speak, reaccionando a trailers, trailers funables de disney, trailers de disney con ia, parte 2, segunda parte, #2",761,hd,false,True,536153,25510,816
xw1D8nKBIGw,2025-12-02T22:10:28Z,MNU vs WHM - Game Play - Part 2,Fire Game🔥,20,Gaming,,49,hd,false,True,190095,2172,
8Yiyrm6rM58,2025-12-01T16:00:06Z,Maluma - Sobrio (Letra),Urban Heartbeat,22,People & Blogs,"Maluma, Sobrio, Letra, sobrio, sobrio letra maluma, maluma sobrio letra",199,hd,false,True,835926,809,10
