video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
oP0XAgTpx8M,2025-11-28T12:55:45Z,"Abdukiba, Vanillah & Alikiba - RAFIKI (Clip Officiel)",Abdukiba,10,Music,"Alikiba, Abdukiba, Vanillah, Bongo Fleva, Tanzania, Music Swahili, Kenya Music, Uganda Music, Nigeria Music, Afropop, Afro beats, New Playlist, Trending music, kings Music, Kingkiba, My Friend",219,hd,false,True,324820,10008,953
Fv0leN8TmR8,2025-12-07T00:00:04Z,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,24,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, karen fukuhara, chace crawford",121,hd,true,True,5107672,254056,13797
twxtfFVnfKs,2025-12-01T05:22:10Z,🔴LIVE | Simba S.C. vs Azam FC - NBC Premier League 2025/26 | Video Game Simulation,Football StreamZone,20,Gaming,"Simba S.C. vs Azam fc Live Match, Simba S.C. vs Azam fc live stream, Simba S.C. vs Azam fc, Tanzanian Premier League 25/26 live, Simba S.C. vs Azam fc live, Tanzanian Premier League 25/26 live match today, football live, Simba S.C. vs Azam fc live streaming, Simba S.C. vs Azam fc live score, Simba S.C. vs Azam fc live english commentary, Azam fc live, Azam fc, Simba S.C. vs Azam fc 25/26",10823,sd,false,False,53177,,0
V6c8rvMbiCY,2025-12-04T09:30:07Z,Jux - Majo (Official Lyric Video),JUX,10,Music,,148,hd,false,True,848261,13894,4685
zHhR3daI3bY,2025-11-10T12:00:01Z,Man Vs Baby | Official Trailer | Netflix,Netflix,24,Entertainment,"Ashley Jensen, Baby, Baby’s Day Out, Bean, Christmas, Home Alone, London, Man Vs Baby, Man Vs Bee, Mr Bean, Rowan, Rowan Atkinson, Trevor, baby Jesus, nativity",124,hd,true,True,9388902,247681,8917
AVkTUKi7GmI,2025-12-07T16:03:26Z,🔴Young Africans vs Coastal Union  / Tanzanian Premier League 2025 | eFootball PES 21 Simulation,RMO,20,Gaming,,10668,sd,false,True,35771,47,0
DJRaztXT2sY,2025-12-03T07:50:55Z,Dogo Janja feat Aslay - One Day (Official Lyric Audio),DogoJanja,10,Music,,211,hd,false,True,113691,4450,424
Ntp522Cad-s,2025-12-07T22:10:52Z,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,17,Sports,"RC Celta, Real Madrid, Real Madrid vs. RC Celta, Madrid, Celta, Real Madrid Celta, Real Madrid vs Celta, LaLiga, jornada 15 laliga ea sports, laliga ea sports, highlights Real Madrid Celta, resumen Real Madrid Celta, goles Celta, Williot, Valverde, Mbappé, Santiago Bernabéu, mejores momentos fútbol, partido LaLiga, liga española, highlights fútbol, resumen fútbol, Celta vigo, Celta de Vigo",195,hd,false,True,1042206,25632,2758
8a_pVvSvJxI,2025-11-20T14:00:06Z,DJ Pacheko Midundo FT Mama Amina & Chino Kidd -Nuna (Official Video),Dj Pacheko midundo,10,Music,,168,hd,false,False,551656,9317,626
Ztudq6VTWn4,2025-12-03T11:30:06Z,eFootball™ CONNECT / Version 5.2.0 Update,eFootball,20,Gaming,,941,hd,true,False,462676,26719,3310
_WODy4d1UIY,2025-12-02T08:11:07Z,Rapcha ft Timitee - Tamaa (Official Music Video),Rapcha,10,Music,"Rapcha ft Timitee - Tamaa (Official Music Video), Best Tanzanian songs 2025, Inspiration songs, Trending songs Tanzania, Tanzania gospel songs, Best gospel songs 2025, Tanzania Songs 2025, Tanzania Gospel 2025 - New Tanzania Gospel songs 2025 - 2026, Gospel songs kenya, Kenya Music hits 2025, Best Kenyan Music 2025, Rwanda songs 2025, East African Music",200,hd,false,True,74935,3147,350
SQrnOTflgWA,2025-12-06T15:03:41Z,🔴Live : Arsenal vs Aston Villa I English Premier League 2025/26 Season Live I eFootball Pes 21 Game,Munna,20,Gaming,"munna, football, soccer, football gameplay, gameplay, epes, soccer league, english, epl, english premier league, premier league, live, live football, match, football live, live football match, sport, sports, soccer live, live soccer, 2025, arsenal, aston villa, arsenal vs aston villa, aston villa vs arsenal, arsenal live, arsenal match, arsenal live match, arsenal match live, arsenal vs aston villa match, aston villa vs arsenal live, arsenal aston villa match, aston villa arsenal match",554,hd,false,True,294988,1853,2
G61rZhIbbAs,2025-12-01T13:58:12Z,Alikiba - DECEMBER (Official Audio),Alikiba,10,Music,"Alikiba, December, Alikiba new music, december by alikiba, kenya, tanzanian music, SELLA, Kingkiba, Trending Music, Kenya Music, Tanzania, Swahili Music, swahil, Afropop, Mixing, Muziki, music Africa, Congo music, Uganda Music, Africa Music, sella byAlikiba, king kiba, king, sella music video, trending, tiktok, wasafi, harmonize, diamond platinumz, ccm, samia suluhu, mama samia, tundu lisu, bongo, bongo flava, new bongo music, trending bongo, alikiba in kenya",236,hd,false,True,172516,6678,1375
6JkvIZDkCaI,2025-12-06T18:07:09Z,[LIVE] Aston Villa vs Arsenal Premier League 25/26 Full Match - Video Game Simulation,Kampleng Com,24,Entertainment,"aston villa vs arsenal, aston villa vs arsenal live, aston villa vs arsenal premier league, premier league live 2025, premier league aston villa vs arsenal, aston villa vs arsenal 2025, aston villa vs arsenal static, aston villa, arsenal, the derby, london, 2025, premier league live today, live, match, premier league 2025/2026, aston villa vs arsenal prediction, aston villa vs arsenal today",8386,hd,false,True,202240,996,2
EC41DTveAT0,2025-12-05T10:00:07Z,AIC Chang’ombe Choir (CVC) - MJUE SANA MUNGU (Official Live Video),AIC Chang'ombe Choir (CVC) ,10,Music,,589,hd,false,True,25602,995,116
yDJDPmSGJqs,2025-12-05T03:08:58Z,New room with bed ! entity verse,Entity Verse,20,Gaming,,61,hd,false,False,139888,167,8
xF4eH5QInz8,2025-12-07T09:29:52Z,ZABRON SINGERS-BHAMAGHAKA (Official Video),Zabron Singers.,10,Music,,370,hd,false,True,18849,1018,228
S-LMSpzlnc0,2025-12-07T15:44:41Z,Race Highlights | 2025 Abu Dhabi Grand Prix,FORMULA 1,17,Sports,"F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, abu dhabi, f1 2025 championship",503,hd,false,True,2548229,66128,6207
OOkRuhCANi4,2025-12-05T10:02:42Z,Nishike Mkono,Dogo Paten - Topic,10,Music,"Dogo Paten, Nishike Mkono",180,hd,false,True,13766,811,0
WzlbPrcN1mo,2025-12-06T16:23:32Z,🔴Aston Villa vs Arsenal LIVE. Premier League 2025/2026 Full Match - Simulation Video Games,Guest YT,17,Sports,"live aston villa vs arsenal, aston villa vs arsenal premier league, aston villa vs arsenal, aston villa vs arsenal 2024, aston villa vs arsenal epl, aston villa vs arsenal premier league today, aston villa, arsenal, premier league aston villa vs arsenal 25/26, soccer, broadcast, live, live score, aston villa vs arsenal big match, aston villa vs arsenal prediction, aston villa vs arsenal tips",7021,hd,false,True,81962,414,0
xiaAdRLqU64,2025-11-16T17:11:18Z,Phina & Eni - Nimekuchagua Wewe (Cover),Phina,10,Music,"Phina, Eni and Phina, Bob Rudala, Eni, phina cover, cover song, Nimekuchagua wewe cover, nimekuchagua wewe, new cover, bob rudala nimekuchagua wewe, wasafi, diamond platinumz, phina, kesho yako, kesho ako by phina, phina new music, tanzania, kenya, bongo, drill sound, ccm, mama samia, Wasafi media, In Love, Diamond platnumz, Marioo, For You, Rayvanny, Mbosso, Millardayo, the storybook, Hivi ni kweli, hope, melanin therapy, melanin therapy ep, trending, tiktok, trending music tanzania",181,hd,false,False,432472,12096,829
WYc3vZRE6CY,2025-12-06T16:14:38Z,🔴 Aston Villa vs Arsenal LIVE | Premier League 2025/26 | Full Match Simulation,Torcida Gamers,17,Sports,"Aston Villa vs Arsenal live, Aston Villa and Arsenal, Aston Villa vs Arsenal live today, goals from the match Aston Villa vs Arsenal 06/12/2025, highlights of the match Aston Villa vs Arsenal 06/12/2025, match Aston Villa vs Arsenal, Aston Villa vs Arsenal, Premier League 2025, Premier League, eFootball 2025, Aston Villa, Arsenal, match of Aston Villa live, match of Arsenal live, gameplay eFootball 2025, Arsenal vs Aston Villa",7260,hd,false,True,90177,345,1
1jKUEPceRvY,2025-12-03T15:33:27Z,Jay Melody - Marafiki {Visualizer},Jay Melody,10,Music,"Tanzania, Kenya, Uganda, Marioo, BongoFlava, music, africa, mariooofficial, marioo255, thisismarioo, omaryallymwanga, marioomusic, marioonewmusic, marioosongs, marioohits, Bien, Sauti Sol, Nairobi song, Alikiba, Zuchu, D Voice, Mbosso, Diamond Platnumz, Rayvanny, Harmonize, Trending Music, Trending, Nandy, Aslay, Simba SC, Yanga SC, Azam TV, Clam Vevo, Vichekesho, The God Son, Marioo Nairobi, Wasafi, Wasafi Media, Chinno Kidd, Bongo Man, Raha Fest, ChrisBrown, Davido, Ayra Starr, Asake, Wizkid, Burna boy",166,hd,false,True,92438,3694,267
n2ztwjLnIWs,2025-12-06T15:30:05Z,Aston Villa vs Arsenal LIVE | Premier League 2025/26 Full Match | Epl Match Live | PES 21 Simulation,Wavear,20,Gaming,"aston villa vs arsenal, aston villa vs arsenal live, aston villa vs arsenal premier league, premier league live 2025, premier league aston villa vs arsenal, aston villa vs arsenal 2025, aston villa vs arsenal static, aston villa, arsenal, the derby, london, 2025, premier league live today, live, match, premier league 2025/2026, aston villa vs arsenal prediction, aston villa vs arsenal today",7274,hd,false,True,95084,,4
VjGKUyyFet0,2025-11-21T07:19:28Z,Mbosso ft Bien & Khaligraph Jones - Pawa II (Official Lyric Video),Mbosso,10,Music,"mbosso, watakubali, shida, nimekuzoea, alele, nadekezwa, zilipendwa, kwangwaru, wasafi, harmonize, rayvanny, iyena, gundu, sikomi, nipepee, jibebe, konki, nyegezi, hodari, tetema, tamu, kainama, diamond platnumz, lava lava, zima feni, ashua, amaboko, yope remix, haijakaa sawa, tamba, magufuli, ccm",226,hd,false,True,615955,18064,1934
IZNzfTMTloI,2025-12-07T05:33:11Z,ASTON VILLA 2-1 ARSENAL! PREMIER LEAGUE 2025-26 Simulation/Recreation,十Loork Football,20,Gaming,,238,hd,false,True,97553,492,3
l-YBiVYVrRI,2025-11-28T13:00:06Z,Ufunuo Choir - Sio Mimi (Official Live Video),UFUNUO CHOIR,10,Music,,562,hd,false,True,51573,1203,234
QYDdhuXP-Dc,2025-12-06T20:41:06Z,WWE 2K25 ||⭐️ROMAN REIGNS VS QUEEN ZELINA⭐️ || PART 11 #shortsfeed #shortslive #viral #verticallive,RAZOREdge GAMING,20,Gaming,"shorts, shortsfeed, viral, ai",3693,hd,false,True,96224,265,0
X5XAKb6_VeY,2025-12-07T09:57:55Z,Balaa Mc Naficha_(official visualizer),Balaa Mc,10,Music,,202,hd,false,True,7281,532,189
x_fknCUmCtQ,2025-12-06T18:46:05Z,Aston Villa vs Arsenal | English Premier League 2025/26 | Epl Live Stream | PES 21 Gameplay,Football Gamer Rony,20,Gaming,"efootball, efootball pes 21, pes 21 gameplay, football game, pes 21, pes21, efootball pes 21 gameplay, live football, football live, football, football gamer rony",918,hd,false,True,232705,912,0
iiYuEbgxNqs,2025-11-30T11:00:07Z,Mt. Kizito Makuburi - Familia ni Lulu (Official Music Video),KMK MAKUBURI,10,Music,"makuburi, Tegemeo, kmk, kmkmakuburi, mimina, Tanzania, Catholicchoir, catholic, katoliki",561,hd,false,True,34394,1574,299
V5UeaSk4rQA,2025-12-01T22:09:08Z,FC Pro Open Match Day 3 - Group C,EA SPORTS FC Pro,20,Gaming,"FC Pro, FC Pro esports, FC esports, FC competitive, FC tournament, FC Pro gameplay, EA SPORTS FC, EA SPORTS FC Pro, FC Pro tips, FC Pro tutorial, FC Pro player tips, FC Pro Champ, FC Pro Champion, FC Pro Championship, EA SPORTS, EA SPORTS Pro, FC 25, FC 25 Pro, FC25Pro, FCPro25, FC Pro 25, FC Esports, Live, FC Pro Live, Livestream, emre yilmaz, nicolas99fc, ilian, vejrgang, jonny, Finals, fcproopen, fc pro open 26, fc pro live, fc26, easports fc26, eafc 26 pro, pro fc26, Tekkz",14783,hd,false,False,185388,3423,74
LO7G5dAoZZ8,2025-12-04T17:30:07Z,Christopher Mwahangila - Namwachia Mungu (Official Music Video),Christopher Mwahangila,10,Music,"Joan, Agape Gospel Band, Obby Alpha, Komando wa Yesu, Mungu Ni Mungu Tu, Uwe Nguzo, Mwamposa, Deborah Lukalu, Mike Kalambay, Henri Papa Mulaja, Goma, Trump, Elon Musk, Christina shusho, Bahati bukuku, Harmonize, Singeli, Diamond, Tuzo, CCM, Samia, Lissu, Bella Kombo, Bony Mwaitege, Mbarikiwa mwakipesile, Joel Lwaga, Boaz Danken, Dr. Ipyana, Zorravo, Goodluck Gozbert, Geor Davie, Annastazia Mukabwa, Steven Kasolo, Sifael Mwabuka, Humphrey Polepole, Luhaga Mpina, Josephat Gwajima",346,hd,false,True,57738,2206,306
9Wp3DeQ5e2Y,2025-12-07T15:00:38Z,"UJANA - USWEGE ft HARMONIZE, MBOSSO, RAYVANNY, ASLAY",Uswege Murderer,23,Comedy,,292,hd,false,True,3920,393,24
sGdVprU4rEA,2025-12-04T12:42:46Z,Bony Mwaitege – Rekebisha Ulipokosea (Official Lyrics Video),Bony Mwaitege Official,10,Music,"Bony Mwaitege – Rekebisha Ulipokosea (Official Lyrics Video), Rekebisha Ulipokosea, bony mwaitege mama, tenzi za rohoni, bony mwaitege safari bado",303,hd,false,True,50264,1306,223
ydao7Y5J1KA,2025-11-16T12:00:07Z,Dr Annoint Amani - POLICE WAMETUUWA VIBAYA ( official video clp),Dr. Annoint Amani,10,Music,,316,hd,false,True,142431,2106,540
Ujx5LydsA0o,2025-12-04T10:04:07Z,NYOTA,Salmin Swaggz - Topic,10,Music,"Salmin Swaggz, Young Lunya, NYOTA",156,hd,false,True,11346,550,72
eakdOBH_fsw,2025-11-14T07:00:06Z,Udede - Wadaima [ Lyrics Video ],Udede,10,Music,,206,hd,false,True,217448,3285,323
